date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:11:23	179520/179520	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2022%20Jun%202021%2023:09:10%20GMT	https://necropinvest.com/dashboard/public/assets/fonts/Roboto-Light.ttf	C:/My%20Web%20Sites/nerco%20investment/necropinvest.com/dashboard/public/assets/fonts/Roboto-Light.ttf	(from https://necropinvest.com/dashboard/public/assets/css/appsf488.css?ver=1.1.0)
11:11:23	181108/181108	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2022%20Jun%202021%2023:09:10%20GMT	https://necropinvest.com/dashboard/public/assets/fonts/Roboto-Regulard41d.eot?	C:/My%20Web%20Sites/nerco%20investment/necropinvest.com/dashboard/public/assets/fonts/Roboto-Regulard41dd41d.eot	(from https://necropinvest.com/dashboard/public/assets/css/appsf488.css?ver=1.1.0)
11:11:24	181108/181108	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2022%20Jun%202021%2023:09:10%20GMT	https://necropinvest.com/dashboard/public/assets/fonts/Roboto-Regular.eot	C:/My%20Web%20Sites/nerco%20investment/necropinvest.com/dashboard/public/assets/fonts/Roboto-Regular.eot	(from https://necropinvest.com/dashboard/public/assets/css/appsf488.css?ver=1.1.0)
11:11:24	65916/65916	---M--	200	added ('OK')	font/woff2	date:Tue,%2022%20Jun%202021%2023:09:10%20GMT	https://necropinvest.com/dashboard/public/assets/fonts/Roboto-Regular.woff2	C:/My%20Web%20Sites/nerco%20investment/necropinvest.com/dashboard/public/assets/fonts/Roboto-Regular.woff2	(from https://necropinvest.com/dashboard/public/assets/css/appsf488.css?ver=1.1.0)
11:11:24	93388/93388	---M--	200	added ('OK')	font/woff	date:Tue,%2022%20Jun%202021%2023:09:10%20GMT	https://necropinvest.com/dashboard/public/assets/fonts/Roboto-Regular.woff	C:/My%20Web%20Sites/nerco%20investment/necropinvest.com/dashboard/public/assets/fonts/Roboto-Regular.woff	(from https://necropinvest.com/dashboard/public/assets/css/appsf488.css?ver=1.1.0)
11:11:24	180932/180932	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2022%20Jun%202021%2023:09:10%20GMT	https://necropinvest.com/dashboard/public/assets/fonts/Roboto-Regular.ttf	C:/My%20Web%20Sites/nerco%20investment/necropinvest.com/dashboard/public/assets/fonts/Roboto-Regular.ttf	(from https://necropinvest.com/dashboard/public/assets/css/appsf488.css?ver=1.1.0)
11:11:24	66792/66792	---M--	200	added ('OK')	font/woff2	date:Tue,%2022%20Jun%202021%2023:09:10%20GMT	https://necropinvest.com/dashboard/public/assets/fonts/Roboto-Medium.woff2	C:/My%20Web%20Sites/nerco%20investment/necropinvest.com/dashboard/public/assets/fonts/Roboto-Medium.woff2	(from https://necropinvest.com/dashboard/public/assets/css/appsf488.css?ver=1.1.0)
11:11:24	181460/181460	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2022%20Jun%202021%2023:09:10%20GMT	https://necropinvest.com/dashboard/public/assets/fonts/Roboto-Mediumd41d.eot?	C:/My%20Web%20Sites/nerco%20investment/necropinvest.com/dashboard/public/assets/fonts/Roboto-Mediumd41dd41d.eot	(from https://necropinvest.com/dashboard/public/assets/css/appsf488.css?ver=1.1.0)
11:11:25	181460/181460	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2022%20Jun%202021%2023:09:10%20GMT	https://necropinvest.com/dashboard/public/assets/fonts/Roboto-Medium.eot	C:/My%20Web%20Sites/nerco%20investment/necropinvest.com/dashboard/public/assets/fonts/Roboto-Medium.eot	(from https://necropinvest.com/dashboard/public/assets/css/appsf488.css?ver=1.1.0)
11:11:25	181256/181256	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2022%20Jun%202021%2023:09:10%20GMT	https://necropinvest.com/dashboard/public/assets/fonts/Roboto-Medium.ttf	C:/My%20Web%20Sites/nerco%20investment/necropinvest.com/dashboard/public/assets/fonts/Roboto-Medium.ttf	(from https://necropinvest.com/dashboard/public/assets/css/appsf488.css?ver=1.1.0)
